"Company Name","CRD","Initial or Amended","11.C(1)","11.C(2)","11.C(3)","11.C(4)","11.C(5)","11.D(1)","11.D(2)","11.D(3)","11.D(4)","11.D(5)","11.E(1)","11.E(2)","11.E(3)","11.E(4)","11.F","11.G","A","A1","A2","A3","B","Part2 1","Full name of regulator","Principal Sanction","Other sanctions","Date","Explanation","4","5","6","Other product types","7","8","9","10","11","explanation","12a1","12a2","12a3","12a4","12a5","12a6","12a7","12 amount","12b1","12b2","13"
"10/2012","INTERNET SECURITIES, INCORPORATED","amended","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","You and one or more of your advisory affiliates","0","1","1","N/A","SRO","","","Other","AWC, FINE, PRINCIPAL SUSPENSION.","06/16/2010","","2009017653801","","No Product","","Pending","EXCHANGE ACT RULE 15C3-1, FINRA RULE 2010: INTERNET SECURITIES CONDUCTED A SECURITIES BUSINESS WHILE FAILING TO MAINTAIN REQUIRED MINIMUM NET CAPITAL. THE FIRM WAS ISSUED A NOTICE OF LEVY BY A STATE. THE NOTICE WAS SENT TO THE PRESIDENT OF THE FIRM BUT HE FAILED TO NOTIFY ANY OTHER FIRM PERSONNEL, INCLUDING THE FIRM'S OFFSITE FINANCIAL AND OPERATIONS PRINCIPAL (FINOP), ABOUT THE LEVY. BECAUSE THE FINOP DID NOT HAVE READY ACCESS TO THE FIRM'S BOOKS AND RECORDS, HE WAS UNABLE TO CALCULATE THE FIRM'S NET CAPITAL. THE LEVY CAUSED THE FIRM TO FALL BELOW ITS REQUIRED MINIMUM NET CAPITAL.","","Acceptance, Waiver & Consent(AWC)","06/16/2010","0","0","0","1","1","0","1","","$5,000","","WITHOUT ADMITTING OR DENYING THE FINDINGS, INTERNET SECURITIES CONSENTED TO THE DESCRIBED SANCTION AND TO THE ENTRY OF FINDINGS; THEREFORE IT IS FINED $5,000 JOINTLY AND SEVERALLY. BEARDSLEY WAS SUSPENDED FROM 07/19/2010 TO 08/06/2010 IN ALL PRINCIPAL CAPACITIES."
"10/2012","J.P. MORGAN INSTITUTIONAL INVESTMENTS INC.","initial","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","One or more of your advisory affiliates","1","0","0","Yes","SRO","","","Cease and Desist","CIVIL PENALTY","09/19/2013","","FILE NO. 3-15507","","Other","SYNTHETIC CREDIT PORTFOLIO","Final","ON SEPTEMBER 19, 2013, THE SECURITIES AND EXCHANGE COMMISSION (""SEC"") ISSUED A CEASE AND DESIST ORDER
(""ORDER"") AGAINST JPMORGAN CHASE & CO. (""JMPC"") RELATING TO THE CIRCUMSTANCES ARISING FROM THE 2012
LOSSES IN JPMC'S CHIEF INVESTMENT OFFICE (""CIO""). THE ORDER STATES THAT JPMC VIOLATED SECTIONS 13(A),
13(B)(2)(A), AND 13(B)(2)(B) OF THE SECURITIES EXCHANGE ACT OF 1934 (""EXCHANGE ACT"") AND RULES 13A-11, 13A-13,
AND 13A-15 THEREUNDER BECAUSE IT FAILED TO MAINTAIN EFFECTIVE INTERNAL CONTROL OVER FINANCIAL
REPORTING AS OF MARCH 31, 2012, AND DISCLOSURE CONTROLS AND PROCEDURES, AND FILED INACCURATE REPORTS
WITH THE SEC.","","Consent","09/19/2013","0","0","0","1","1","0","1","","$200,000,000","","THE ORDER REQUIRES THAT JPMC CEASE AND DESIST FROM COMMITTING OR CAUSING ANY VIOLATIONS AND ANY FUTURE VIOLATIONS OF SECTION 13(A), 13(B)(2)(A), AND 13(B)(2)(B) OF THE EXCHANGE ACT AND RULES 13A-11, 13A-13,
AND 13A-15 THEREUNDER. IN ADDITION, THE ORDER REQUIRES JPMC TO PAY A CIVIL MONEY PENALTY OF $200
MILLION, WHICH WAS PAID ON SEPTEMBER 19, 2013. AS PART OF THE SETTLEMENT, JPMC ACKNOWLEDGED THAT ITS
CONDUCT VIOLATED THE FEDERAL SECURITIES LAWS AND ADMITTED TO CERTAIN FACTS, SUCH AS BUT NOT LIMITED
TO: THAT JPMC'S TRADERS MISMARKED THE SYNTHETIC CREDIT PORTFOLIO (""SCP"") AS LOSSES MOUNTED AND AS A
RESULT OF THESE MARKING PRACTICES, THE SCP TRADERS INTENTIONALLY UNDERSTATED MARK-TO-MARKET
LOSSES IN THE SCP; JPMC'S EARNINGS RELEASE FOR THE QUARTER ENDING MARCH 31, 2012, INCLUDED THE
UNDERSTATED LOSSES FOR THE SCP, AND JPMC SUBSEQUENTLY ISSUED A RESTATEMENT WHICH HAD THE EFFECT
OF MOVING SCP LOSSES FROM THE SECOND QUARTER TO THE FIRST QUARTER OF 2012; AND JPMC HAD
INEFFECTIVE INTERNAL ACCOUNTING CONTROLS AND DISCLOSURE CONTROLS AND PROCEDURES AS OF MARCH 31,
2012. JPMC HAS VOLUNTARILY UNDERTAKEN A COMPREHENSIVE PROGRAM OF REMEDIATION TO ADDRESS, AMONG
OTHER THINGS, THE INTERNAL CONTROL DEFICIENCIES THAT ARE SUBJECT OF THE SETTLEMENT WITH THE SEC,
SUCH AS, BUT NOT LIMITED TO, SUBSTANTIALLY STRENGTHENING THE CIO VALUATION CONTROL GROUP FUNCTION
WITHIN CIO TO ENSURE THAT PRICE VERIFICATION PROCEDURES ARE CONDUCTED WITH THE APPROPRIATE DEGREE
OF INDEPENDENCE AND SUPERVISION."
"10/2012","CETERA ADVISORS LLC","initial","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","You","0","0","0","N/A","State","STATE OF IDAHO, DEPARTMENT OF FINANCE, SECURITIES BUREAU","Civil and Administrative Penalt(ies) /Fine(s)","IN THE ORDER, MULTI-FINANCIAL AGREED TO OFFER RESCISSION TO 4 INVESTORS IN EXCHANGE FOR TENDER OF THEIR EAG SHARES.","06/07/2004","","DOCKET NO. 2002-7-17","MULTI-FINANCIAL SECURITIES CORPORATION","Equity Listed (Common & Preferred Stock)","","RESPONDENT BATTEN ALLEGEDLY ENGAGED IN DECEPTIVE OR MANIPULATIVE ACTS AS DEFINED UNDER RULE 111(01) AND (02) OF THE RULES PURSUANT TO THE IDAHO SECURITIES ACT (IDAHO IDAPA 12.01.08.111). RESPONDENT BATTEN ALLEGEDLY VIOLATED IDAHO CODE SECTION 30-1403(3). RESPONDENTS LODGE AND MULTI-FINANCIAL ALLEGEDLY FAILED TO DILIGENTLY SUPERVISE THE SECURITIES ACTIVITIES OF RESPONDENT BATTEN AND ALLEGEDLY VIOLATED RULE 119(01) AND (03) OF THE RULES PURSUANT TO THE IDAHO SECURITEIS ACT (IDAHO IDAPA 12.01.08.119)","Final","","Order","06/07/2004","","1","0","1","0","1","0","0","$3,000","N/A","THE TOTAL AMOUNT OF RESCISSION IS ESTIMATED TO BE APPX. $119,000.00. RESPONDENTS LODGE AND MULTI-FINANCIAL AGREE TO PAY COMPLAINANT A FINE IN THE AMOUNT OF $3,000.00 AND INVESTIGATIVE COSTS IN THE AMOUNT OF $2,000.00.",""
"10/2012","STANFORD INVESTMENT GROUP, INC.","No regulatory info"
"10/2012","NEW HORIZONS ASSET MANAGEMENT GROUP, LLC","amended","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","One or more of your advisory affiliates","0","1","1","N/A","State","","","Civil and Administrative Penalt(ies) /Fine(s)","","04/04/2000","","C10000043","","Debt - Municipal","","Pending","MUNICIPAL SECURITIES SALES WITHOUT PRINCIPAL,  VIOLATION NET CAPITAL REQUIREMENT, WEBSITE ADVERTISEMENT VIOLATION","","Acceptance, Waiver & Consent(AWC)","04/04/2000","0","0","0","1","1","0","1","","$5,000","NONE","AN AWC WAS AGREED UPON IN 3/2000, A $5,000 FINE WAS PAID BY THE FIRM ON 4/4/2000"
"10/2012","JOSEPH GRACE HOLDINGS, INC.","amended","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","You","0","0","0","N/A","SRO","NATIONAL ASSOCIATION OF SECURITES DEALERS (NASD)","Civil and Administrative Penalt(ies) /Fine(s)","NONE","04/11/2003","","#C10030024","","No Product","","THE FIRM IMPROPERLY MAINTAIN THE REGISTRATION OF A REGISTERED REPRESENTATIVE, WITH RESPECT TO MEMBERSHIP AND REGISTRATION RULE 1031(A) AND 2110.","Final","","Acceptance, Waiver & Consent(AWC)","04/11/2003","","1","0","1","0","0","0","0","$2,500","NONE","$ 2,500 PAIS 3/12 2003","THE FIRM DID NOT REAIZE THAT THIS REGISTRATION WAS IN VIOLATION OF THE REGISTRATION RULES.  THE FIRM DID NOT INTENTIONALLY OR KNOWINGLY VIOLATE THE RULES OF REGISTRATION."
"10/2012","JOSEPH GRACE HOLDINGS, INC.","amended","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","You","0","0","0","N/A","SRO","NATIONAL ASSOCIATION OF SECURITES DEALERS (NASD)","Civil and Administrative Penalt(ies) /Fine(s)","NONE","04/11/2003","","#C10030024","","No Product","","THE FIRM IMPROPERLY MAINTAIN THE REGISTRATION OF A REGISTERED REPRESENTATIVE, WITH RESPECT TO MEMBERSHIP AND REGISTRATION RULE 1031(A) AND 2110.","Final","","Acceptance, Waiver & Consent(AWC)","04/11/2003","","1","0","1","0","0","0","0","$2,500","NONE","$ 2,500 PAIS 3/12 2003","THE FIRM DID NOT REAIZE THAT THIS REGISTRATION WAS IN VIOLATION OF THE REGISTRATION RULES.  THE FIRM DID NOT INTENTIONALLY OR KNOWINGLY VIOLATE THE RULES OF REGISTRATION."
"10/2012","JOSEPH GRACE HOLDINGS, INC.","amended","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","You","0","0","0","N/A","SRO","NATIONAL ASSOCIATION OF SECURITES DEALERS (NASD)","Civil and Administrative Penalt(ies) /Fine(s)","NONE","04/11/2003","","#C10030024","","No Product","","THE FIRM IMPROPERLY MAINTAIN THE REGISTRATION OF A REGISTERED REPRESENTATIVE, WITH RESPECT TO MEMBERSHIP AND REGISTRATION RULE 1031(A) AND 2110.","Final","","Acceptance, Waiver & Consent(AWC)","04/11/2003","","1","0","1","0","0","0","0","$2,500","NONE","$ 2,500 PAIS 3/12 2003","THE FIRM DID NOT REAIZE THAT THIS REGISTRATION WAS IN VIOLATION OF THE REGISTRATION RULES.  THE FIRM DID NOT INTENTIONALLY OR KNOWINGLY VIOLATE THE RULES OF REGISTRATION."
"10/2012","CITY NATIONAL SECURITIES, INC.","amended","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","You","0","0","0","N/A","SRO","FINRA","Censure","","02/04/2009","","2008014620101","","Other","AUCTION-RATE MUNICIPAL SECURITIES","NASD RULES 2110, 2210, 2211, 3010 AND MSRB RULES G-17, G-21 AND G-27: RESPONDENT'S COMMUNICATIONS WITH THE PUBLIC, INCLUDING CUSTOMERS AND PROSPECTIVE CUSTOMERS, IN ITS MARKETING AND SALE OF AUCTION RATE SECURITIES (ARS) WAS NOT FAIR AND BALANCED AND DID NOT PROVIDE A SOUND BASIS FOR EVALUATING THE FACTS IN REGARDS TO THE PURCHASE OF AUCTION RATE SECURITIES (ARS). FOR EXAMPLE, THE COMMUNICATIONS DISTRIBUTED TO POTENTIAL ARS CUSTOMERS DESCRIBED THE POTENTIAL ADVANTAGES OF ARS IN MAINTAINING SHORT-TERM LIQUIDITY AND AS AN INVESTMENT TO MANAGE DAY-TO-DAY CASH NEEDS. THERE WAS NO DISCLOSURE ABOUT THE POTENTIAL FOR ILLIQUIDITY WITH AN ARS IN THE EVENT OF AN UNSUCCESSFUL AUCTION. THE FIRM'S INTERNAL MATERIALS USED BY REGISTERED REPRESENTATIVES DESCRIBED ARS AS LOW RISK, HIGH QUALITY, AND SHORT-TERM INVESTMENT ALTERNATIVES TO TRADITIONAL CASH MANAGEMENT INVESTMENTS THAT WOULD ALLOW INVESTORS TO MANAGE DAY-TO-DAY CASH NEEDS AND MAINTAIN LIQUIDITY. THESE INTERNAL MATERIALS ALSO FAILED TO ADEQUATELY DISCLOSE THE POTENTIAL FOR ILLIQUIDITY. RESPONDENT FAILED TO ESTABLISH AND MAINTAIN PROCEDURES REASONABLY DESIGNED TO ENSURE THAT IT MARKETED AND SOLD ARS IN COMPLIANCE WITH THE SECURITIES LAWS AND APPLICABLE NASD AND MSRB RULES, SUCH AS MAINTAINING PROCEDURES REASONABLY DESIGNED TO ENSURE THAT ITS REGISTERED REPRESENTATIVES ACCURATELY DESCRIBED ARS TO CUSTOMERS DURING SALES PRESENTATIONS AND THAT REPRESENTATIVES PROVIDED CUSTOMERS WITH ADEQUATE DISCLOSURE OF THE RISKS OF ARS, INCLUDING THE RISK THAT THE ARS AUCTIONS COULD FAIL AND THAT INVESTMENTS IN ARS COULD THEREFORE BECOME ILLIQUID. [CONTINUED IN COMMENTS]","Final","","Acceptance, Waiver & Consent(AWC)","07/28/2009","","1","0","1","0","0","1","0","$315,000","BUYBACK OFFER","WITHOUT ADMITTING OR DENYING THE FINDINGS, RESPONDENT CONSENTED TO THE DESCRIBED SANCTIONS AND TO THE ENTRY OF FINDINGS; THEREFORE, RESPONDENT IS CENSURED, FINED $315,000 AND REQUIRED TO SUBMIT TO A BUYBACK OFFER TO PURCHASE AT PAR AUCTION RATE SECURITIES (ARS) SUBJECT TO AUCTION THAT HAVE NOT BEEN SUCESSFUL AS OF OCTOBER 21, 2008 AND ARE NOT SUBJECT TO CURRENT CALLS OR REDEMPTIONS (ELIGIBLE ARS) FROM ALL INVESTORS WHO PURCHASE ELIGIBLE ARS BETWEEN MAY 31, 2006 AND FEBRUARY 28, 2008 (RELEVANT CLASS). NO LATER THAN SIX MONTHS FROM THE DATE OF THE AWC, THE FIRM SHALL MAKE ITS BEST EFFORTS TO PROVIDE LIQUIDITY TO ALL OTHER INVESTORS NOT IN THE RELEVANT CLASS BUT WHO PURCHASED ELIGIBLE ARS FROM THE FIRM AT ANY TIME BETWEEN MAY 31, 2006 AND FEBRUARY 28, 2008. THE FIRM SHALL REASONABLY IDENTIFY INVESTORS WHO SOLD ELIGIBLE ARS BELOW PAR BETWEEN CERTAIN DATES AND PAY THEM THE DIFFERENCE BETWEEN PAR AND THE PRICE AT WHICH THEY SOLD THE ARS. THE FIRM SHALL ARBITRATE CLAIMS FOR CONSEQUENTIAL DAMAGES FILED BY INVESTORS IN THE RELEVANT CLASS RELATING TO ELIGIBLE ARS AND PROVIDE FINRA WITH A REPORT FOLLOWING THE COMPLETION OF THE BUYBACK CONCERNING COMPLIANCE WITH THE SETTLEMENT.","[CONTINUED]: RESPONDENT ALSO FAILED TO PROVIDE ADEQUATE TRAINING TO ITS REGISTERED REPRESENTATIVES REGARDING THE FEATURES AND CHARACTERISTICS OF ARS AND THE DIFFERENCES BETWEEN ARS AND OTHER INVESTMENTS. RESPONDENT FAILED TO ESTABLISH AND MAINTAIN PROCEDURES THAT WERE REASONABLY DESIGNED TO ENSURE THAT THE WRITTEN MATERIALS IT USED IN CONNECTION WITH THE MARKETING AND SALE OF ARS COMPLIED WITH THE APPROPRIATE DISCLOSURE STANDARDS IN NASD RULE 2210, 2211 AND MSRB RULE G-21.  AMENDED AWC ISSUED JULY 28,2009."
"10/2012","GAGNON SECURITIES, LLC","No regulatory info"
"10/2012","HANSON MCCLAIN RETIREMENT NETWORK, LLC","No regulatory info"
"10/2012","ALEXANDER INVESTMENT SERVICES CO.","amended","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","You","1","0","1","N/A","SRO","","","Civil and Administrative Penalt(ies) /Fine(s)","","08/05/1977","","AWCC-20","","No Product","","Pending","FIRM HAD LET NET CAPITAL DIP BELOW 120% OF REQUIRED CAPITAL FOR FOUR (4) DAYS.","","Acceptance, Waiver & Consent(AWC)","08/05/1977","0","0","0","1","1","0","1","","$200","","$200.00 FINE ASSESSED AGAINST APPLICANT WAS TIMELY PAID"
"10/2012","MMC SECURITIES CORP.","initial","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","One or more of your advisory affiliates","1","0","0","Yes","State","This advisory affiliate is ","","GUAM INSURANCE DEPARTMENT","","Cease and Desist","","10/03/2005","","","","Pending","Insurance","COMPLAINT AGAINST MARSH & MCLENNAN COMPANIES, INC. AND MARSH, INC. (WHICH PROVIDES GLOBAL RISK MANAGEMENT, RISK CONSULTING, INSURANCE BROKING, FINANCIAL SOLUTIONS, AND INSURANCE PROGRAMMING MANAGEMENT) (COLLECTIVELY, ""MARSH""), ORIGINALLY BROUGHT BY THE AG OF THE STATE OF NEW YORK AND ALLEGES THAT MARSH USED MISLEADING, DECEPTIVE, FRAUDULENT, COERCIVE, DISHONEST PRACTICES, OR DEMONSTRATED INCOMPETENCE, UNTRUSTWORTHINESS OR FINANCIAL IRRESPONSIBILITY IN THE CONDUCT OF BUSINESS AND UNLAWFULLY DECEIVED ITS CLIENTS BY (I) STEERING CLIENTS' INSURANCE BUSINESS TO FAVORED INSURANCE COMPANIES, AND (II) SOLICITING FICTITIOUS BIDS IN ORDER TO ASSURE THAT INSURANCE POLICIES WERE PLACED TO BENEFIT FAVORED INSURERS.","","","1","0","0","1","0","0","0","Settled","10/03/2005","","$"
