"id","name","title","year","salary","bonus","stock_awards","option_awards","RSUs","nonequity_incentive_plan_compensation","change_in_pension_value_and_nonqualified_deferred_compensation","securities_underlying_options","all_other","total","remainder","accession","cik","file_date","ind_cik","ind_id"
"208562","Robert W. Black President International",,"2000","264462.00","99449.00",NULL,NULL,NULL,NULL,NULL,"30000.00","70903.00","785020.00","320206.00","www.sec.gov/Archives/edgar/data/852254/0000950131-02-002121-index.html","1050825","2002-05-20",NULL,NULL
"208563","James R. Stelter SeniorVice President Sales Marketing & Dealer Alliances",,"2002","319379.00","0.00",NULL,NULL,NULL,NULL,NULL,"42667.00","17558.00","585514.00","205910.00","www.sec.gov/Archives/edgar/data/852254/0000950131-02-002121-index.html","1050825","2002-05-20",NULL,NULL
"208564","James R. Stelter SeniorVice President Sales Marketing & Dealer Alliances",,"2001","311615.00","82644.00",NULL,NULL,NULL,NULL,NULL,"31945.00","68645.00","815371.00","320522.00","www.sec.gov/Archives/edgar/data/852254/0000950131-02-002121-index.html","1050825","2002-05-20",NULL,NULL
"208565","James R. Stelter SeniorVice President Sales Marketing & Dealer Alliances",,"2000","301769.00","132880.00",NULL,NULL,NULL,NULL,NULL,"40000.00","71370.00","870412.00","324393.00","www.sec.gov/Archives/edgar/data/852254/0000950131-02-002121-index.html","1050825","2002-05-20",NULL,NULL
"208566","James P. Keane Senior Vice President Chief Financial Officer",,"2002","284808.00","0.00",NULL,NULL,NULL,NULL,NULL,"55466.00","17422.00","471121.00","113425.00","www.sec.gov/Archives/edgar/data/852254/0000950131-02-002121-index.html","1050825","2002-05-20","1196719",NULL
"208567","James P. Keane Senior Vice President Chief Financial Officer",,"2001","248058.00","53147.00",NULL,NULL,NULL,NULL,NULL,"29906.00","48678.00","548960.00","169171.00","www.sec.gov/Archives/edgar/data/852254/0000950131-02-002121-index.html","1050825","2002-05-20","1196719",NULL
"208568","James P. Keane Senior Vice President Chief Financial Officer",,"2000","220500.00","77840.00",NULL,NULL,NULL,NULL,NULL,"20000.00","50515.00","506213.00","137358.00","www.sec.gov/Archives/edgar/data/852254/0000950131-02-002121-index.html","1050825","2002-05-20","1196719",NULL
"208569","Michael Love President and Chief Executive Officer Steelcase Design Partnership",,"2002","266635.00","0.00",NULL,NULL,NULL,NULL,NULL,"53333.00","26549.00","390585.00","44068.00","www.sec.gov/Archives/edgar/data/852254/0000950131-02-002121-index.html","1050825","2002-05-20","1196721",NULL
"208570","Michael Love President and Chief Executive Officer Steelcase Design Partnership",,"2001","230442.00","108567.00",NULL,NULL,NULL,NULL,NULL,"20927.00","68784.00","474316.00","45596.00","www.sec.gov/Archives/edgar/data/852254/0000950131-02-002121-index.html","1050825","2002-05-20","1196721",NULL
"208571","Michael Love President and Chief Executive Officer Steelcase Design Partnership",,"2000","139523.00","287903.00",NULL,NULL,NULL,NULL,NULL,"4500.00","40968.00","524622.00","51728.00","www.sec.gov/Archives/edgar/data/852254/0000950131-02-002121-index.html","1050825","2002-05-20","1196721",NULL
"118048","Paul A. Brown M.D.","Chairman and Chief Executive Officer","2001","300000.00","15000.00",NULL,"0.00",NULL,NULL,NULL,NULL,NULL,"315000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-02-001681-index.html","821536","2002-04-29","1265526",NULL
"118049","Paul A. Brown M.D.","Chairman and Chief Executive Officer","2000","300000.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,NULL,"300000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-02-001681-index.html","821536","2002-04-29","1265526",NULL
"118050","Paul A. Brown M.D.","Chairman and Chief Executive Officer","1999","250000.00","125000.00",NULL,"100000.00",NULL,NULL,NULL,NULL,NULL,"475000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-02-001681-index.html","821536","2002-04-29","1265526",NULL
"118051","Stephen J. Hansbrough","President and Chief Operating Officer","2001","275000.00","13750.00",NULL,"300000.00",NULL,NULL,NULL,NULL,NULL,"588750.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-02-001681-index.html","821536","2002-04-29","1177643",NULL
"118052","Stephen J. Hansbrough","President and Chief Operating Officer","2000","275000.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,NULL,"275000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-02-001681-index.html","821536","2002-04-29","1177643",NULL
"118053","Stephen J. Hansbrough","President and Chief Operating Officer","1999","225000.00","112500.00",NULL,"113246.00",NULL,NULL,NULL,NULL,NULL,"450746.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-02-001681-index.html","821536","2002-04-29","1177643",NULL
"118054","James W. Peklenk","Vice President - Finance Chief Financial Officer","2001","165000.00","8250.00",NULL,"80000.00",NULL,NULL,NULL,NULL,NULL,"253250.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-02-001681-index.html","821536","2002-04-29",NULL,NULL
"118055","James W. Peklenk","Vice President - Finance Chief Financial Officer","2000","165000.00","0.00",NULL,"10000.00",NULL,NULL,NULL,NULL,NULL,"175000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-02-001681-index.html","821536","2002-04-29",NULL,NULL
"118056","James W. Peklenk","Vice President - Finance Chief Financial Officer","1999","150000.00","75000.00",NULL,"10000.00",NULL,NULL,NULL,NULL,NULL,"235000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-02-001681-index.html","821536","2002-04-29",NULL,NULL
"118057","Donna L. Taylor","Senior Vice President Sales and Operations","2001","165000.00","8250.00",NULL,"80000.00",NULL,NULL,NULL,NULL,NULL,"253250.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-02-001681-index.html","821536","2002-04-29","1264549",NULL
"118058","Donna L. Taylor","Senior Vice President Sales and Operations","2000","165000.00","0.00",NULL,"20000.00",NULL,NULL,NULL,NULL,NULL,"185000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-02-001681-index.html","821536","2002-04-29","1264549",NULL
"118059","Donna L. Taylor","Senior Vice President Sales and Operations","1999","150000.00","75000.00",NULL,"10000.00",NULL,NULL,NULL,NULL,NULL,"235000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-02-001681-index.html","821536","2002-04-29","1264549",NULL
"208146","Paul A. Brown M.D.","Chairman","2002","294000.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,NULL,"294000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001491-index.html","821536","2003-04-25","1265526",NULL
"208147","Paul A. Brown M.D.","Chairman","2001","300000.00","15000.00",NULL,"0.00",NULL,NULL,NULL,NULL,NULL,"315000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001491-index.html","821536","2003-04-25","1265526",NULL
"208148","Paul A. Brown M.D.","Chairman","2000","300000.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,NULL,"300000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001491-index.html","821536","2003-04-25","1265526",NULL
"208149","Stephen J. Hansbrough","Chief Executive Officer","2002","266000.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,NULL,"266000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001491-index.html","821536","2003-04-25","1177643",NULL
"208150","Stephen J. Hansbrough","Chief Executive Officer","2001","275000.00","13750.00",NULL,"300000.00",NULL,NULL,NULL,NULL,NULL,"588750.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001491-index.html","821536","2003-04-25","1177643",NULL
"208151","Stephen J. Hansbrough","Chief Executive Officer","2000","275000.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,NULL,"275000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001491-index.html","821536","2003-04-25","1177643",NULL
"208152","Gino Chouinard-","Chief Financial Officer","2002","91000.00","0.00",NULL,"74595.00",NULL,NULL,NULL,NULL,NULL,"165595.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001491-index.html","821536","2003-04-25","1264546",NULL
"208153","Donna L. Taylor","Senior Vice President Sales and Operations","2002","159000.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,NULL,"159000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001491-index.html","821536","2003-04-25","1264549",NULL
"208154","Donna L. Taylor","Senior Vice President Sales and Operations","2001","165000.00","8250.00",NULL,"80000.00",NULL,NULL,NULL,NULL,NULL,"253250.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001491-index.html","821536","2003-04-25","1264549",NULL
"208155","Donna L. Taylor","Senior Vice President Sales and Operations","2000","165000.00","0.00",NULL,"20000.00",NULL,NULL,NULL,NULL,NULL,"185000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001491-index.html","821536","2003-04-25","1264549",NULL
"208156","James W. Peklenk-","Co-Chief Financial Officer Vice President - Finance","2002","165000.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,NULL,"165000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001491-index.html","821536","2003-04-25",NULL,NULL
"208157","James W. Peklenk-","Co-Chief Financial Officer Vice President - Finance","2001","165000.00","8250.00",NULL,"80000.00",NULL,NULL,NULL,NULL,NULL,"253250.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001491-index.html","821536","2003-04-25",NULL,NULL
"208158","James W. Peklenk-","Co-Chief Financial Officer Vice President - Finance","2000","165000.00","0.00",NULL,"10000.00",NULL,NULL,NULL,NULL,NULL,"175000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001491-index.html","821536","2003-04-25",NULL,NULL
"302113","Kerry B. Skeen","Chairman of the Board and Chief Executive Officer","2003","403212.00","267128.00",NULL,NULL,NULL,NULL,NULL,"270000.00","469872.00","1410212.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235578",NULL
"302114","Kerry B. Skeen","Chairman of the Board and Chief Executive Officer","2002","400535.00","434408.00",NULL,NULL,NULL,NULL,NULL,"200000.00","491338.00","1526281.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235578",NULL
"302115","Kerry B. Skeen","Chairman of the Board and Chief Executive Officer","2001","425798.00","46811.00",NULL,NULL,"437580.00",NULL,NULL,"329866.00","479048.00","1719103.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235578",NULL
"302116","Thomas J. Moore","President and Chief Operating Officer","2003","254904.00","137011.00",NULL,NULL,NULL,NULL,NULL,"137000.00","291427.00","820342.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235573",NULL
"302117","Thomas J. Moore","President and Chief Operating Officer","2002","253312.00","219315.00",NULL,NULL,NULL,NULL,NULL,"100000.00","266794.00","839421.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235573",NULL
"302118","Thomas J. Moore","President and Chief Operating Officer","2001","269183.00","29593.00",NULL,NULL,"208260.00",NULL,NULL,"171837.00","226645.00","905518.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235573",NULL
"302119","Richard J. Surratt -","Executive Vice President, Chief Financial Officer and Treasurer","2003","199289.00","107118.00",NULL,NULL,NULL,NULL,NULL,"129000.00","171184.00","606591.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235581",NULL
"302120","Richard J. Surratt -","Executive Vice President, Chief Financial Officer and Treasurer","2002","197758.00","171306.00",NULL,NULL,NULL,NULL,NULL,"75000.00","155001.00","599065.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235581",NULL
"302121","Richard J. Surratt -","Executive Vice President, Chief Financial Officer and Treasurer","2001","176192.00","19370.00",NULL,NULL,"135720.00",NULL,NULL,"122021.00","100942.00","554245.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235581",NULL
"302122","Eric I. Nordling -","Senior Vice President Marketing","2003","124154.00","47233.00",NULL,NULL,NULL,NULL,NULL,"50000.00",NULL,"221387.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1262747",NULL
"302123","Richard J. Kennedy","Vice President and General Counsel","2003","129288.00","37170.00",NULL,NULL,NULL,NULL,NULL,"50000.00",NULL,"216458.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235565",NULL
"302124","Richard J. Kennedy","Vice President and General Counsel","2002","135000.00","57591.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"192591.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235565",NULL
"302125","Richard J. Kennedy","Vice President and General Counsel","2001","141750.00","14837.00",NULL,NULL,"35100.00",NULL,NULL,"50000.00",NULL,"241687.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235565",NULL
"302126","William B. Lange -","Senior Vice President Operations Resources and Safety","2003","158504.00","85196.00",NULL,NULL,NULL,NULL,NULL,"50000.00","95908.00","389608.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27",NULL,NULL
"302127","William B. Lange -","Senior Vice President Operations Resources and Safety","2002","157452.00","136325.00",NULL,NULL,NULL,NULL,NULL,"25000.00","89240.00","408017.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27",NULL,NULL
"302128","William B. Lange -","Senior Vice President Operations Resources and Safety","2001","164475.00","18168.00",NULL,NULL,"121680.00",NULL,NULL,"114669.00","43504.00","462496.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27",NULL,NULL
"314088","Kerry B. Skeen",,"2003","670340.00","670340.00",NULL,NULL,"670340.00",NULL,NULL,NULL,NULL,"2011020.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235578",NULL
"314089","Kerry B. Skeen",,"2002","869581.00","869581.00",NULL,NULL,"869581.00",NULL,NULL,NULL,NULL,"2608743.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235578",NULL
"314090","Kerry B. Skeen",,"2001","954237.00","954237.00",NULL,NULL,"954237.00",NULL,NULL,NULL,NULL,"2862711.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235578",NULL
"314091","Thomas J. Moore",,"2003","391915.00","391915.00",NULL,NULL,"391915.00",NULL,NULL,NULL,NULL,"1175745.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235573",NULL
"314092","Thomas J. Moore",,"2002","491921.00","491921.00",NULL,NULL,"491921.00",NULL,NULL,NULL,NULL,"1475763.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235573",NULL
"314093","Thomas J. Moore",,"2001","527431.00","527431.00",NULL,NULL,"527431.00",NULL,NULL,NULL,NULL,"1582293.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235573",NULL
"314094","Richard J. Surratt",,"2003","306407.00","306407.00",NULL,NULL,"306407.00",NULL,NULL,NULL,NULL,"919221.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235581",NULL
"314095","Richard J. Surratt",,"2002","377815.00","377815.00",NULL,NULL,"377815.00",NULL,NULL,NULL,NULL,"1133445.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235581",NULL
"314096","Richard J. Surratt",,"2001","342224.00","342224.00",NULL,NULL,"342224.00",NULL,NULL,NULL,NULL,"1026672.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235581",NULL
"314097","Eric I. Nordling",,"2003","171387.00","171387.00",NULL,NULL,"171387.00",NULL,NULL,NULL,NULL,"514161.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1262747",NULL
"314098","Richard J. Kennedy",,"2003","166458.00","166458.00",NULL,NULL,"166458.00",NULL,NULL,NULL,NULL,"499374.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235565",NULL
"314099","Richard J. Kennedy",,"2002","192591.00","192591.00",NULL,NULL,"192591.00",NULL,NULL,NULL,NULL,"577773.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235565",NULL
"314100","Richard J. Kennedy",,"2001","191687.00","191687.00",NULL,NULL,"191687.00",NULL,NULL,NULL,NULL,"575061.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27","1235565",NULL
"314101","William B. Lange",,"2003","243700.00","243700.00",NULL,NULL,"243700.00",NULL,NULL,NULL,NULL,"731100.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27",NULL,NULL
"314102","William B. Lange",,"2002","306067.00","306067.00",NULL,NULL,"306067.00",NULL,NULL,NULL,NULL,"918201.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27",NULL,NULL
"314103","William B. Lange",,"2001","315427.00","315427.00",NULL,NULL,"315427.00",NULL,NULL,NULL,NULL,"946281.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-04-001555-index.html","904020","2004-04-27",NULL,NULL
"479401","Michael J. Pudil","Chairman; President and Chief Executive Officer","2003","222498.00","48636.00",NULL,NULL,NULL,NULL,NULL,"30000.00","8000.00","309134.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950134-03-016283-index.html","104897","2003-12-05","1249249",NULL
"479402","Michael J. Pudil","Chairman; President and Chief Executive Officer","2002","218300.00",NULL,NULL,NULL,NULL,NULL,NULL,"60000.00","7103.00","285403.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950134-03-016283-index.html","104897","2003-12-05","1249249",NULL
"479403","Michael J. Pudil","Chairman; President and Chief Executive Officer","2001","215499.00",NULL,NULL,NULL,NULL,NULL,NULL,"20000.00","7072.00","242571.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950134-03-016283-index.html","104897","2003-12-05","1249249",NULL
"479404","Paul D. Sheely","Vice President and Chief Financial Officer","2003","123885.00","27080.00",NULL,NULL,NULL,NULL,NULL,"10000.00","4956.00","165921.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950134-03-016283-index.html","104897","2003-12-05","1247760",NULL
"479405","Paul D. Sheely","Vice President and Chief Financial Officer","2002","121548.00",NULL,NULL,NULL,NULL,NULL,NULL,"15000.00","4862.00","141410.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950134-03-016283-index.html","104897","2003-12-05","1247760",NULL
"479406","Paul D. Sheely","Vice President and Chief Financial Officer","2001","119990.00",NULL,NULL,NULL,NULL,NULL,NULL,"10000.00","6370.00","136360.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950134-03-016283-index.html","104897","2003-12-05","1247760",NULL
"301426","Paul D. Arling","Chairman and Chief Executive Officer","2003","424531.00","283100.00",NULL,NULL,NULL,NULL,NULL,NULL,"6000.00","713631.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950137-04-003347-index.html","101984","2004-04-29","1216543",NULL
"301427","Paul D. Arling","Chairman and Chief Executive Officer","2002","312287.00",NULL,NULL,"160000.00",NULL,NULL,NULL,NULL,"5500.00","477787.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950137-04-003347-index.html","101984","2004-04-29","1216543",NULL
"301428","Paul D. Arling","Chairman and Chief Executive Officer","2001","300000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5250.00","305250.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950137-04-003347-index.html","101984","2004-04-29","1216543",NULL
"301429","Robert P. Lilleness -","President and Chief Operating Officer","2003","304155.00","171000.00",NULL,NULL,NULL,NULL,NULL,NULL,"6000.00","481155.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950137-04-003347-index.html","101984","2004-04-29","1217130",NULL
"301430","Robert P. Lilleness -","President and Chief Operating Officer","2002","265486.00",NULL,NULL,"210000.00",NULL,NULL,NULL,NULL,"5500.00","480986.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950137-04-003347-index.html","101984","2004-04-29","1217130",NULL
"301431","Robert P. Lilleness -","President and Chief Operating Officer","2001","153846.00",NULL,NULL,"125000.00",NULL,NULL,NULL,NULL,NULL,"278846.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950137-04-003347-index.html","101984","2004-04-29","1217130",NULL
"301432","Paul J. M. Bennett","Senior Vice President and Managing Director, Europe","2003","220466.00","112488.00",NULL,NULL,NULL,NULL,NULL,NULL,"43000.00","375954.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950137-04-003347-index.html","101984","2004-04-29","1357137",NULL
"301433","Paul J. M. Bennett","Senior Vice President and Managing Director, Europe","2002","175000.00",NULL,NULL,"20000.00",NULL,NULL,NULL,NULL,"33200.00","228200.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950137-04-003347-index.html","101984","2004-04-29","1357137",NULL
"301434","Paul J. M. Bennett","Senior Vice President and Managing Director, Europe","2001","160000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"29600.00","189600.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950137-04-003347-index.html","101984","2004-04-29","1357137",NULL
"301435","John S. Ames","Senior Vice President of Sales and Marketing","2003","191417.00","91100.00",NULL,NULL,NULL,NULL,NULL,NULL,"6000.00","288517.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950137-04-003347-index.html","101984","2004-04-29","1216541",NULL
"301436","John S. Ames","Senior Vice President of Sales and Marketing","2002","166588.00",NULL,NULL,"30000.00",NULL,NULL,NULL,NULL,"5500.00","202088.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950137-04-003347-index.html","101984","2004-04-29","1216541",NULL
"301437","John S. Ames","Senior Vice President of Sales and Marketing","2001","166846.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5250.00","172096.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950137-04-003347-index.html","101984","2004-04-29","1216541",NULL
"301438","Richard A. Firehammer Jr.","Senior Vice President, General Counsel and Secretary","2003","181151.00","79200.00",NULL,NULL,NULL,NULL,NULL,NULL,"185473.00","445824.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950137-04-003347-index.html","101984","2004-04-29","1216547",NULL
"301439","Richard A. Firehammer Jr.","Senior Vice President, General Counsel and Secretary","2002","166055.00",NULL,NULL,"20000.00",NULL,NULL,NULL,NULL,"5500.00","191555.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950137-04-003347-index.html","101984","2004-04-29","1216547",NULL
"301440","Richard A. Firehammer Jr.","Senior Vice President, General Counsel and Secretary","2001","166436.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"260758.00","427194.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950137-04-003347-index.html","101984","2004-04-29","1216547",NULL
"73298","Ronald Kaplan CEO",,"2001","130000.00","0.00",NULL,NULL,"6000.00",NULL,NULL,NULL,"6000.00","142000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950144-02-006178-index.html","747435","2002-05-31","1100344",NULL
"73299","Ronald Kaplan CEO",,"2000","105000.00","0.00",NULL,NULL,"6000.00",NULL,NULL,NULL,"6000.00","117000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950144-02-006178-index.html","747435","2002-05-31","1100344",NULL
"73300","Ronald Kaplan CEO",,"1999","100000.00","0.00",NULL,NULL,"6000.00",NULL,NULL,NULL,"6000.00","112000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950144-02-006178-index.html","747435","2002-05-31","1100344",NULL
"73301","Ronald Tuchman President",,"2001","113500.00","0.00",NULL,NULL,"5000.00",NULL,NULL,NULL,"5000.00","123500.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950144-02-006178-index.html","747435","2002-05-31",NULL,NULL
"421739","William E. McGlashan Jr.-","Chairman of the Board of Directors and Chief Executive Officer","2002","437637.00",NULL,NULL,NULL,NULL,NULL,NULL,"1000000.00",NULL,"1437637.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950149-03-001202-index.html","1060801","2003-05-21","1241013",NULL
"421740","William E. McGlashan Jr.-","Chairman of the Board of Directors and Chief Executive Officer","2001","189000.00","500000.00",NULL,NULL,NULL,NULL,NULL,"4013000.00",NULL,"4702000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950149-03-001202-index.html","1060801","2003-05-21","1241013",NULL
"421741","Paul Bartlett-","Chief Financial Officer and Executive Vice President, Corporate Development","2002","219319.00",NULL,NULL,NULL,NULL,NULL,NULL,"750000.00",NULL,"969319.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950149-03-001202-index.html","1060801","2003-05-21",NULL,NULL
"421742","Bernard Harguindeguy-","Executive Vice President and Chief Marketing Officer","2002","283801.00","100000.00",NULL,NULL,NULL,NULL,NULL,"1500000.00","13673.00","1897474.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950149-03-001202-index.html","1060801","2003-05-21","1289662",NULL
"421743","Laureen DeBuono-","Former Executive Vice President and Chief Financial Officer","2002","624000.00",NULL,NULL,NULL,NULL,NULL,NULL,"257000.00",NULL,"881000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950149-03-001202-index.html","1060801","2003-05-21",NULL,NULL
"421744","Laureen DeBuono-","Former Executive Vice President and Chief Financial Officer","2001","223325.00",NULL,NULL,NULL,NULL,NULL,NULL,"468019.00",NULL,"691344.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950149-03-001202-index.html","1060801","2003-05-21",NULL,NULL
"421745","Pierre Van Beneden-","Former President","2002","336461.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"32322.00","368783.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950149-03-001202-index.html","1060801","2003-05-21",NULL,NULL
"421746","Pierre Van Beneden-","Former President","2001","103977.00",NULL,NULL,NULL,NULL,NULL,NULL,"2500000.00","362375.00","2966352.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950149-03-001202-index.html","1060801","2003-05-21",NULL,NULL
"421747","David Hayden-","Former Executive Chairman","2002",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"572400.00","572400.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950149-03-001202-index.html","1060801","2003-05-21",NULL,NULL
"421748","David Hayden-","Former Executive Chairman","2001","1.00",NULL,NULL,NULL,NULL,NULL,NULL,"7710000.00",NULL,"7710001.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950149-03-001202-index.html","1060801","2003-05-21",NULL,NULL
"421749","David Hayden-","Former Executive Chairman","2000","124455.00","200000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"324455.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950149-03-001202-index.html","1060801","2003-05-21",NULL,NULL
